player_id,display_name,score_l2,score_mahalanobis,score_pca_whitened_l2,rank_l2,rank_mahalanobis,rank_pca_whitened_l2,championships,finals_losses,finals_appearances,playoff_seasons,playoff_performance,playoff_depth_total,team_strength_index,championship_credit,finals_loss_debit,championship_net,max_consecutive_championships,repeat_titles_score,stat_outlier_z,clutch_penalty,score_goat_index,rank_goat_index
walkeke02,Kemba Walker,2.547210413550261,2.51996363081954,2.3755972229260327,15,5,12,0,0,0,4,1.7385275806448242,6.954110322579297,-4.31670809819749,0.0,0.0,0.0,0.0,0.0,-0.7438327873593399,0.25022337205018724,2.488197740348617,27
stoudam01,Amar'e Stoudemire,2.755839531321697,3.3119498798587133,2.4498957538473345,22,28,13,0,0,0,10,1.4563532401136923,14.563532401136923,-2.7703874756422637,0.0,0.0,0.0,0.0,0.0,-0.7007696105985601,0.24301712297821434,2.559253459187531,30
mcadobo01,Bob McAdoo,2.4681775776582926,2.8363656609835766,2.49638613062698,12,10,14,2,2,4,9,2.061483551168693,18.553351960518235,-0.4152815192293965,2.0,3.2971173133623175,-1.2971173133623175,1.0,2.0,-1.0880412043096372,0.0,2.950377190303791,43
cartevi01,Vince Carter,2.777619008950548,2.617563882726177,2.52905162600894,23,7,15,0,0,0,11,1.6619652981009772,18.28161827911075,-4.39667557000125,0.0,0.0,0.0,0.0,0.0,-0.6464376488289191,0.30416860391871076,2.66592749777236,33
pricema01,Mark Price,2.947780868353043,2.695132391012321,2.585311594315799,29,9,16,0,0,0,7,1.1108520531671073,7.775964372169752,0.19696335871627824,0.0,0.0,0.0,0.0,0.0,-0.5722365315726197,0.3496425051347446,2.7426507216264344,36
paytoga01,Gary Payton,3.296572523958042,3.597120503012447,2.5906462128303662,39,35,17,1,2,3,14,1.6903292287971958,23.66460920316074,-0.2746338904329545,2.476451588404744,1.3,1.176451588404744,1.0,1.0,-0.10987081225169716,0.038319314466951374,2.1961318483988337,23
billuch01,Chauncey Billups,2.7893474601506507,2.6635179257309525,2.593777638986736,24,8,18,1,1,2,11,1.3904676983536195,15.295144681889814,-0.5240466249732763,1.0,0.7187072381563385,0.2812927618436615,1.0,1.0,-0.5225044284647755,0.016689576034184018,2.5028354815568377,28
randoza01,Zach Randolph,2.3591572629858333,3.0416450766880034,2.689978400430933,9,14,19,0,0,0,9,1.4268088309014022,12.84127947811262,-2.8453922060093477,0.0,0.0,0.0,0.0,0.0,-1.3255568473157806,0.0,2.689978400430933,35
havlijo01,John Havlicek,2.9328175438380994,3.6513821768396855,2.691454537139359,27,36,20,8,0,8,13,2.928396619805035,38.069156057465456,17.855481183075476,12.954660611077419,0.0,12.954660611077419,4.0,12.5,-0.7223163154868298,0.0,-1.842676676737737,1
fraziwa01,Walt Frazier,3.0488273399959063,3.791536769838815,2.7159383996227335,33,43,21,2,1,3,9,2.1245382374483097,19.120844137034787,6.24650765970828,2.0,2.9724159226401556,-0.9724159226401556,1.0,2.0,-0.28894804579402333,0.0,3.056283972546788,45
lucasje01,Jerry Lucas,2.515629424106697,6.185214021078623,2.7259470401611874,14,87,22,1,1,2,8,1.5791378978185726,12.633103182548581,16.718811061789815,1.0,2.9724159226401556,-1.9724159226401556,1.0,1.0,-2.1058256688559602,0.0,3.4162926130852416,53
mariosh01,Shawn Marion,3.011075360417943,3.5137236565958108,2.7395257747809048,32,32,23,1,1,2,11,2.005845117144827,22.0642962885931,-3.785115168791948,2.603580577992531,0.65,1.9535805779925313,1.0,1.0,-0.3313833429995383,0.11998503929089338,2.109765840164421,21
kingbe01,Bernard King,2.6667570004902568,2.8936303891451876,2.7492186966556518,17,11,24,0,0,0,5,1.459803457613058,7.29901728806529,-3.0653563840870532,0.0,0.0,0.0,0.0,0.0,-1.0043434682133678,0.0,2.7492186966556518,37
malonmo01,Moses Malone,3.3630932600161043,5.416128412368028,2.7578398759754124,42,79,25,1,1,2,14,1.316196142221463,18.426745991100482,1.0142974290023743,1.0762919158458673,0.65,0.42629191584586723,1.0,1.0,-0.19830394506974353,0.0,2.608637705429359,31
englial01,Alex English,2.9964053083780606,2.9152447495547307,2.7667972603390507,31,12,26,0,0,0,10,1.0523157326304153,10.523157326304153,4.1940303473688285,0.0,0.0,0.0,0.0,0.0,-0.5957928483440703,0.4035695538884548,2.948403559588855,42
aldrila01,LaMarcus Aldridge,2.951372203791292,3.0659437922308617,2.770282475270313,30,15,27,0,0,0,10,1.4806114231882048,14.806114231882049,-2.2990944997976066,0.0,0.0,0.0,0.0,0.0,-0.5747287411628129,0.37153949019246624,2.9374752458569224,40
allenra02,Ray Allen,3.328388396172254,3.306090759607349,2.832189558450117,40,27,28,2,2,4,11,2.284014973697921,25.124164710677128,-2.2556468365123234,4.551647246364013,1.3,3.251647246364013,1.0,2.0,-0.1377082973973104,0.0,1.6941130222227125,11
hillgr01,Grant Hill,3.0578885074509357,3.213936898308738,2.8521942891985748,34,24,29,0,0,0,11,1.324817678180793,14.572994459988722,-1.4274403905757336,0.0,0.0,0.0,0.0,0.0,-0.6700606000001069,0.2105525164972955,2.946942921622358,41
boshch01,Chris Bosh,3.483039909642739,3.1400247682300497,2.8645408365313996,45,19,30,2,2,4,7,3.0889496043839486,21.62264723068764,-4.894586650223395,4.702115619160134,1.3,3.402115619160134,2.0,2.75,-0.13610505733320924,0.0,1.6738003698253527,10
laniebo01,Bob Lanier,3.5333104430693085,3.114595407461079,2.868857542718718,46,17,31,0,0,0,8,1.8741221111813724,14.99297688945098,-5.7444504032748105,0.0,0.0,0.0,0.0,0.0,-0.11452244149446786,0.48114973596999727,3.085374923905217,46
maravpe01,Pete Maravich,2.702901307129367,3.1515395528332273,2.8739360074683717,18,21,32,0,0,0,3,1.0,3.0,14.297809570824889,0.0,0.0,0.0,0.0,0.0,-1.082856590539222,0.024951637297774457,2.8851642442523704,38
